省份,年份,行政区划代码,总人口,城镇人口,乡村人口,0-14岁,15-64岁,65岁及以上,平均家庭规模,户数,城镇化率,乡村人口占比,0-14岁占比,15-64岁占比,65岁及以上占比
广西,2021,450000.0,5037.0,2774.0,2263.0,1154.37,3248.5,634.12,3.12,16606.0,0.5507246376811594,0.4492753623188406,0.2291780821917808,0.644927536231884,0.1258923962676196
广西,2022,450000.0,5047.0,2809.0,2238.0,1118.37,3265.77,662.86,3.1,16283.0,0.5565682583713097,0.4434317416286903,0.22159104418466413,0.6470715276401823,0.13133742817515356
广西,2023,450000.0,5027.0,2854.0,2173.0,1077.8,3254.97,694.22,3.12,16686.0,0.5677342351302964,0.4322657648697036,0.21440222796896757,0.6474975134274915,0.13809826934553412
广西,2024,450000.0,5013.0,2876.96,2136.0,1037.89,3274.76,700.35,2.95,17234.0,0.5738998603630561,0.4260921603830042,0.2070396967883503,0.6532535407939358,0.13970676241771396
新疆,2000,650000.0,1849.0,467.03,1381.97,428.26,1298.54,122.2,2.91,772.0,0.2525851811790157,0.7474148188209844,0.2316170903190914,0.7022931314223905,0.06608977825851813
新疆,2001,650000.0,1876.0,514.46,1361.54,437.55,1316.01,122.43,3.57,694.0,0.27423240938166316,0.7257675906183368,0.23323560767590618,0.7014978678038379,0.06526119402985076
新疆,2002,650000.0,1905.0,561.89,1343.11,481.91,1301.15,121.94,4.23,616.0,0.2949553805774278,0.7050446194225721,0.2529711286089239,0.6830183727034121,0.06401049868766404
新疆,2003,650000.0,1934.0,609.33,1324.67,521.26,1295.44,117.3,4.89,538.0,0.31506204756980355,0.6849379524301965,0.26952430196483973,0.6698241985522234,0.06065149948293692
新疆,2004,650000.0,1963.0,656.76,1306.24,486.47,1350.63,125.9,4.8,549.0,0.3345695364238411,0.665430463576159,0.2478196637799287,0.6880438104941416,0.0641365257259297
新疆,2005,650000.0,2010.0,747.0,1264.0,494.41,1386.96,128.63,4.83,540.0,0.3716417910447761,0.6288557213930348,0.24597512437810948,0.6900298507462687,0.06399502487562189
新疆,2006,650000.0,2050.0,778.0,1272.0,502.35,1416.29,131.36,4.85,530.0,0.3795121951219512,0.6204878048780488,0.2450487804878049,0.6908731707317073,0.06407804878048781
新疆,2007,650000.0,2095.0,820.0,1275.0,455.12,1500.59,139.29,4.7,550.0,0.3914081145584726,0.6085918854415274,0.21724105011933176,0.716272076372315,0.06648687350835322
新疆,2008,650000.0,2131.0,845.0,1286.0,468.04,1520.73,142.23,4.6,560.0,0.3965274519005162,0.6034725480994838,0.21963397465978415,0.7136227123416237,0.06674331299859221
新疆,2009,650000.0,2159.0,860.0,1298.0,426.56,1581.24,151.2,4.71,543.0,0.3983325613710051,0.6012042612320518,0.19757295044001852,0.7323946271421955,0.07003242241778601
新疆,2010,650000.0,2185.0,940.0,1245.0,470.05,1585.68,129.27,4.46,577.0,0.4302059496567506,0.5697940503432495,0.2151258581235698,0.7257116704805492,0.05916247139588101
