省份,行政区划代码,年份,总人口,城镇人口,0-14岁,65岁及以上,平均家庭规模,土地调查总面积（平方公里）,人口密度（人/平方公里）,log1p人口密度,城镇化率,老龄人口占比,少儿人口占比
山西,140000,2023,3466.0,2252.0,517.49,526.98,2.72,156711.2485,221.17110502121997,5.403447828340991,0.6497403346797461,0.15204270051933064,0.14930467397576458
山西,140000,2024,3446.0,2285.39,501.79,543.97,2.44,156711.2485,219.8948724475257,5.397686898058549,0.6632008125362739,0.1578554846198491,0.14561520603598377
广东,440000,2015,11678.0,8117.0,1942.7,933.31,3.15,179752.3485,649.6716230664435,6.4780050956936055,0.6950676485699606,0.07992036307586915,0.16635554033224867
广东,440000,2016,11908.0,8353.0,1993.2,916.11,3.1,179752.3485,662.46700526419,6.497479124222566,0.7014612025529056,0.07693231441048035,0.16738327175008397
广东,440000,2017,12141.0,8589.0,2043.53,940.53,3.05,179752.3485,675.4292837514721,6.516827909628789,0.707437608104769,0.07746725969854212,0.1683164483979903
广东,440000,2018,12348.0,8867.0,2087.87,1020.34,3.02,179752.3485,686.9451277294438,6.533709078545445,0.7180919987042436,0.08263200518302559,0.16908568189180434
广东,440000,2019,12489.0,9073.0,1993.97,1071.37,2.89,179752.3485,694.7892533376275,6.5450468175534775,0.7264793017855713,0.08578509087997437,0.15965809912723197
广东,440000,2020,12624.0,9361.0,2185.07,1114.08,2.88,179752.3485,702.2995863667395,6.555782955181765,0.7415240811153359,0.0882509505703422,0.17308856147021548
广东,440000,2021,12684.0,9466.0,2376.18,1156.79,2.86,179752.3485,705.637512157456,6.560517821765922,0.7462945443077893,0.09120072532324187,0.18733680227057709
广东,440000,2022,12657.0,9465.0,2337.35,1214.51,2.83,179752.3485,704.1354455516336,6.55838990570916,0.7478075373311212,0.09595559769297622,0.1846685628505965
广东,440000,2023,12706.0,9583.0,2284.23,1265.96,2.92,179752.3485,706.8614182807187,6.562248337643114,0.7542106091610263,0.09963481819612782,0.17977569652132852
广东,440000,2024,12780.0,9701.3,2240.81,1301.79,2.63,179752.3485,710.9781934226022,6.568047283727506,0.7591001564945227,0.10186150234741784,0.17533724569640063
广西,450000,2015,4811.0,2309.0,1040.81,462.8,3.39,237558.098,202.51888024461283,5.315758778193878,0.4799418000415714,0.09619621700270214,0.21633963832882974
广西,450000,2016,4857.0,2392.0,1037.15,470.79,3.55,237558.098,204.4552486693171,5.325228242188868,0.49248507309038503,0.0969302038295244,0.21353716285773114
广西,450000,2017,4907.0,2482.0,1092.19,478.2,3.51,237558.098,206.55999695703912,5.335420439838907,0.5058080293458325,0.0974526187079682,0.22257794986753618
广西,450000,2018,4947.0,2564.0,1081.4,495.98,3.4,237558.098,208.24379558721674,5.343500058211794,0.5182939155043461,0.10025874267232666,0.2185971295734789
广西,450000,2019,4982.0,2639.0,1087.58,506.52,3.28,237558.098,209.71711938862214,5.3505165675741875,0.5297069450020072,0.10167001204335607,0.21830188679245283
广西,450000,2020,5019.0,2720.0,1120.98,570.32,3.2,237558.098,211.27463312153645,5.357880875567064,0.541940625622634,0.11363219764893406,0.22334728033472803
广西,450000,2021,5037.0,2774.0,1154.37,634.12,3.12,237558.098,212.03234250511636,5.361443996929507,0.5507246376811594,0.1258923962676196,0.2291780821917808
广西,450000,2022,5047.0,2809.0,1118.37,662.86,3.1,237558.098,212.45329216266077,5.363418036662733,0.5565682583713097,0.13133742817515356,0.22159104418466413
广西,450000,2023,5027.0,2854.0,1077.8,694.22,3.12,237558.098,211.61139284757198,5.359466052654422,0.5677342351302964,0.13809826934553412,0.21440222796896757
广西,450000,2024,5013.0,2876.96,1037.89,700.35,2.95,237558.098,211.0220633270098,5.356690341554082,0.5738998603630561,0.13970676241771396,0.2070396967883503
新疆,650000,2015,2385.0,1163.0,577.63,124.24,4.06,1664897.1701,14.325209044933075,2.729499122507908,0.48763102725366875,0.05209224318658281,0.24219287211740043
新疆,650000,2016,2428.0,1224.0,583.99,120.74,4.03,1664897.1701,14.583483254128934,2.7462115876061226,0.5041186161449753,0.04972817133443163,0.24052306425041187
新疆,650000,2017,2480.0,1287.0,594.83,143.22,3.98,1664897.1701,14.895814855947181,2.7660558579715193,0.5189516129032258,0.05775,0.2398508064516129
新疆,650000,2018,2520.0,1361.0,593.02,143.44,3.86,1664897.1701,15.136069934268908,2.7810571346948803,0.540079365079365,0.05692063492063492,0.23532539682539683
新疆,650000,2019,2559.0,1421.0,667.04,153.92,4.13,1664897.1701,15.370318635632595,2.795469855801588,0.5552950371238765,0.06014849550605705,0.26066432200078155
