省份,year,indicator,indicator_code,raw_model_reference,median_of_models
青海,2033,口粮,grain_raw,median_of_models,92.82331604539134
青海,2034,口粮,grain_raw,median_of_models,92.02773940903998
青海,2035,口粮,grain_raw,median_of_models,91.39218823218329
黑龙江,2025,口粮,grain_raw,median_of_models,142.16518089151458
黑龙江,2026,口粮,grain_raw,median_of_models,139.08207481457367
黑龙江,2027,口粮,grain_raw,median_of_models,137.08902744436188
黑龙江,2028,口粮,grain_raw,median_of_models,135.94384320661908
黑龙江,2029,口粮,grain_raw,median_of_models,135.01304759623878
黑龙江,2030,口粮,grain_raw,median_of_models,134.26619515018362
黑龙江,2031,口粮,grain_raw,median_of_models,133.6770524923744
黑龙江,2032,口粮,grain_raw,median_of_models,133.2230105084973
黑龙江,2033,口粮,grain_raw,median_of_models,132.88457898449678
黑龙江,2034,口粮,grain_raw,median_of_models,132.64495214737065
黑龙江,2035,口粮,grain_raw,median_of_models,132.48963516454108
